Text,Fuzzy Logic Classification,Accuracy,Precision,Recall,F1-Score
0.0 0.773 0.227 0.8271 reviewcont look durabl charg fine toono complainscharg realli fast good producttil satisfi qualitythi good product charg speed slower origin iphon cablegood qualiti would recommendhttpsmmediaamazoncomimageswwebp402378t1imagesi81f1zghlsy88jpgproduct work well till date issuec also sturdi enoughhav ask replac compani samevalu money,Positive,0.7784066699494665,0.7008647088895975,0.5214354535804333,0.7668872259630786
0.043 0.756 0.201 0.9612 reviewcont order cabl connect phone android auto car cabl realli strong connect port realli well made alreadi micro usb cabl ambran still good shape connect phone car use cabl got connect well issu also connect charg port ye fast charg supportit qualiti good price main thing didnt ever thought cabl long good one charg power good also support fast chargingvalu money extra lengthgood work fineproduct qualiti goodgoodveri goodbought daughter old phonebrand new cabl charg alreadi repack request replacementi check green colour pastefungu insid micro usb connector clean alcohol start work againcheck amper charg speed got around 1400ma1500ma bad came braid 15m long cabl pretti impress pricec blame manufacturerbut qualiti issu distributor might store humid place,Positive,0.7029619798994451,0.579325599122161,0.6117878296772998,0.5371637688385392
0.0 0.616 0.384 0.6808 reviewcont quit durabl sturdyhttpsmmediaamazoncomimageswwebp402378t1imagesi71riggrbuclsy88jpgwork goodhttpsmmediaamazoncomimageswwebp402378t1imagesi61bkp9yo6wlsy88jpgproductveri nice productwork wellit realli nice product,Neutral,0.8059233138942687,0.8250698104304082,0.5201726635037757,0.7256001646612699
0.041 0.724 0.236 0.8591 reviewcont good productlong wirecharg goodnicei bought cabl rs339 worthi product price test variou charger adapt 33w 18w support fast charg wellgoodoki got good price sale amazon product use warranti warranti need go far practic cost mine micro type c connector stop work day onlyi like product,Positive,0.7261885450054186,0.5002650965787602,0.575943402451857,0.5771062921602605
0.057 0.751 0.192 0.9869 reviewcont bought instead origin appl work 150r fast appl charger good option want cheap good product bought ipad pro 105 work flawlessli build qualiti ok like gonna hang cloth want strong cabl even braid cabl stop work year use anker appl store strong braid cabl stop work year pleas dont buy high end cabl instead choos one even stop work with year loos 150r compar 2000rsupdatepin stop charg one side slip pin charg side updat let know long workit good sure durabl pin area feel bit fragiledo support appl carplayso littl disappoint thatoth cabl made good qualitybest buy100 fathfulwrit review post 10 month 3 order producthonestli portron konnect l lightn cabl work like magic origin appl charg brickse price cabl initi hesit buy low 99 offer wasnt sure would work well iphon 12 whether would impact iphon batteri health lightn cabl brand cost 350 like wayona amazon basic etcearli use wayona brand lightn cabl eventu fray stop workingcharg speedcharg iphon fast enough almost similar compar origin cabl level use 12w origin appl power adapterqu durabilitygreat qualiti braid cabl doesnt tangl easili withstand daytoday usagelshap pinthi innov portron make sure cabl doesnt get damag even use chargingcarplay data syncwork smoothli carplay sync data effortlesslyp use cabl origin appl charg brick extrem satisfi performancebett expect product like qualiti plan buy type cabl come usb c light cabl emerg purpos much love cabl buy cabl emerg use sinc good onegood product valu money,Positive,0.7235173262464555,0.8036529186649441,0.8185567029961807,0.5270032163588939
0.0 0.491 0.509 0.91 reviewcont good productlikeveri good item strong use usb cablevalu moneythank amazon producerhttpsmmediaamazoncomimagesi51112zre1lsy88jpggoodnic product use productsturdi support 33w charg,Positive,0.7853278927347602,0.7726280020988994,0.7723575681970998,0.5003027820601228
0.115 0.645 0.24 0.7239 reviewcont build qualiti good come 2 year warrantygood productbought charg mobil tab doesnt work lenovo m8 tabguy cabl best compar everyon heat protect quickli charg chanc shock circuitgoodnicegood quality15 15watt 150 67,Neutral,0.7899114524498481,0.5001288325635209,0.7576795651664965,0.7974538315577311
0.0 0.854 0.146 0.875 reviewcont worth money suitabl android auto purpos serv cargot rs150everyth okay packag good feel like seller gave use cablegood productgood product cost moreorigin cablei bought cabl 129 use cabl android auto car perfectli work without glitchorigin mi cabl charg upto 33 watt got rs 150 67 watt charger want cabl car went check perform batteri charg app charg speed exactli half 67 watt origin cabl go itit provid turbo charg recommend redmi note 10 mobil phone provid turbo charg veri happi product,Positive,0.7202311729751819,0.8174640752359177,0.5042075498843038,0.5751949580835312
0.057 0.79 0.153 0.9888 reviewcont use connect old pc internet tri lubuntu 20 ubuntu 22 work box didnt setup there extend cabl place comfort place get model antenna otherwis youll rang problem your directli line sight wifi routerth wifi dongl simpl plug play devic start catch avail network right plug usb port addit instal softwar requir signal strength good wonder would differ adapt lesser known brand avail much competit price henc star lessproseasi use portablecan connect mobil hotspot use pc budget friendlyless instal processno heat issu good coveragebest altern usb tether phone batteri may get damag long term run tetheringconsinternet connect speed vari time also depend modem cellular connectionissu occur instal via cd avail along product instal driver download tplink siteneed reconnect adapt everi time system turn onwil work softwar issu encount updat systemwork mesupport center wors call unattend time visit nearbi storeconclusionbrought 499ideal user dont need high speed internet usagea good altern usb tether budge1080p youtub video easili play without interruptionswifi connect great good result howev jitter problem existthi perfect devic connect wifi go itthi wifi adopt good workingpictur attachedsizedesign build qualiti packag softwar speed connect experi warranti size designth best part compact size sober eleg design big plu easi plug use add good sober designbuild qualityth build qualiti undoubtedli superb qualm held doesnt give cheap flimsi productlik feel good sturdi build qualitypackagingthi part also big plu item well cushion packag necessari item ensur damag could caus product transport ensur custom receiv someth damag intern alreadysoftwarethi actual good great part productth good part cd provid along manualth great part linux support given version 2 onward bad reallyspeedit easili support net speed upto 300 mbp practic speak test home easili support net speed 100150 mbp without sighon test found connect 5ghz network without issueconnectivitypleas mark feet metr multipli metr x 3 get distanc feetit easili connect laptop phone 7 metr across one room that 21 feet mean even old bluetooth use connect 15 ftso 2025 feet issu big plu found productexperiencefrom point view far except linux noncompat issu found flaw productso overal great productwarrantyit 3 year assur atleast 3 year tensionfre 1 year contrari electron item today provid 1 year warranti itemsbest adapt bought ever work nice seemless connect,Positive,0.8392460611711262,0.5085581410086766,0.716125652993533,0.895937356976666
0.043 0.756 0.201 0.9612 reviewcont order cabl connect phone android auto car cabl realli strong connect port realli well made alreadi micro usb cabl ambran still good shape connect phone car use cabl got connect well issu also connect charg port ye fast charg supportit qualiti good price main thing didnt ever thought cabl long good one charg power good also support fast chargingvalu money extra lengthgood work fineproduct qualiti goodgoodveri goodbought daughter old phonebrand new cabl charg alreadi repack request replacementi check green colour pastefungu insid micro usb connector clean alcohol start work againcheck amper charg speed got around 1400ma1500ma bad came braid 15m long cabl pretti impress pricec blame manufacturerbut qualiti issu distributor might store humid place,Positive,0.7909157153004709,0.5639336432739499,0.6434588183984045,0.5069202201865204
0.071 0.851 0.079 0.1779 reviewcont cabl effici fast charg quick data transfer overal finei like usb c l shape nylon shield core wire improv life cablei think buy everi 6 month fast charg stop work probbl someth cabl design cabl get twist time suspect break high capac wire insid keep buy arent mani option l shape designgood durabl product sometim charg doesnt work adapt might cut someth work fine appl adapt car charger usbth product realli good afford pricegood fast charg valu money 15watnot fast charger slow charg 65w lshape pin use,Negative,0.7017176700318654,0.8514683002118334,0.5862769201247545,0.5902685425081933
0.041 0.724 0.236 0.8591 reviewcont good productlong wirecharg goodnicei bought cabl rs339 worthi product price test variou charger adapt 33w 18w support fast charg wellgoodoki got good price sale amazon product use warranti warranti need go far practic cost mine micro type c connector stop work day onlyi like product,Positive,0.8076466093269098,0.6751794847983195,0.6707617603462994,0.7815616798621139
0.069 0.613 0.318 0.9792 reviewcont use 14 day experi pretti good pictur qualiti also bad dont expect someth world price point go tight budgetiniti impress work said glad didnt go cheaper option costli plug play updat screw upth hdmi cabl good watch moviesport give better qualiti connect laptop tv play love itwork expect length cabl short mention also satisfi requir need length better look optionsal goodit best hdmi cabl price rang problem yet go expect deliv time deliv timeproduct good tri cabl wire amazon basica brandgood one,Positive,0.8296813448427786,0.554041353862898,0.6540197296445098,0.8896146626289423
